,ID,SMILES,graph_file
137,pubchem:3441,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCO)SSCC2CCCO2)C,graph_pubchem:3441
138,pubchem:3443,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C,graph_pubchem:3443
139,pubchem:3444,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,graph_pubchem:3444
140,pubchem:3445,C1C(C=CC=C1C(=O)O)N,graph_pubchem:3445
141,pubchem:3446,C1CCC(CC1)(CC(=O)O)CN,graph_pubchem:3446
142,pubchem:3447,CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N,graph_pubchem:3447
143,pubchem:3448,C1CNCC2=C1C(=O)NO2,graph_pubchem:3448
144,pubchem:3449,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,graph_pubchem:3449
145,pubchem:3450,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,graph_pubchem:3450
146,pubchem:3451,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C6CC(C=C4C3=O)C(=O)C5(OC6(C)C)CC=C(C)C(=O)O)O)C)C,graph_pubchem:3451
147,pubchem:3452,C#CC(CCC(=O)O)N,graph_pubchem:3452
148,pubchem:3453,CCCCCC=CCC=CCC=CCCCCC(=O)O,graph_pubchem:3453
149,pubchem:3454,C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N,graph_pubchem:3454
150,pubchem:3455,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,graph_pubchem:3455
151,pubchem:3456,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4,graph_pubchem:3456
152,pubchem:3457,CCOCN1C(=C(C(=O)NC1=O)C(C)C)CC2=CC(=CC(=C2)C)C,graph_pubchem:3457
153,pubchem:3458,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,graph_pubchem:3458
154,pubchem:3459,CC(=CCCC(=CCCC(=CCCC(=O)OCC=C(C)CCC=C(C)C)C)C)C,graph_pubchem:3459
155,pubchem:3460,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,graph_pubchem:3460
156,pubchem:3461,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,graph_pubchem:3461
157,pubchem:3462,CCCCC(C)(C)C(C=CC1C(CC(=O)C1CCCCC=CC(=O)OC)O)O,graph_pubchem:3462
158,pubchem:3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,graph_pubchem:3463
159,pubchem:3464,C(CSC(CC(=O)O)C(=O)O)N=C(N)N,graph_pubchem:3464
160,pubchem:3465,CC(C1C(C(C(C(O1)COCC2C(C(C(CC2(C)N)N)(C)OC3C(C(C(CO3)(C)O)(C)NC)O)O)N)O)O)O,graph_pubchem:3465
161,pubchem:3466,C1=CC(=CC=C1C2=COC3=CC(=O)C=C(C3=C2O)O)O,graph_pubchem:3466
162,pubchem:3467,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,graph_pubchem:3467
163,pubchem:3468,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C,graph_pubchem:3468
164,pubchem:3469,C1=CC(=C(C=C1O)C(=O)O)O,graph_pubchem:3469
165,pubchem:3470,CC1=CCCC(=CCC(CC1)C(=C)C)C,graph_pubchem:3470
166,pubchem:3471,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C(=O)C,graph_pubchem:3471
167,pubchem:3472,C1=C(NC=C(C1=O)Cl)O,graph_pubchem:3472
168,pubchem:3473,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,graph_pubchem:3473
169,pubchem:3474,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl,graph_pubchem:3474
170,pubchem:3475,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,graph_pubchem:3475
171,pubchem:3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,graph_pubchem:3476
172,pubchem:3477,CN1C(=O)C23CC4=CC=CC(C4N2C(=O)C1(SS3)CO)O,graph_pubchem:3477
173,pubchem:3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,graph_pubchem:3478
174,pubchem:3479,C(C1C(C(C(C(=N1)NO)O)O)O)O,graph_pubchem:3479
175,pubchem:3480,C(C1C(C(C(C2(O1)C(=O)NC(=N2)S)O)O)O)O,graph_pubchem:3480
176,pubchem:3481,C1=CC(=CC=C1NC(C(C(C(C(CO)O)O)O)O)S(=O)(=O)O)S(=O)(=O)C2=CC=C(C=C2)NC(C(C(C(C(CO)O)O)O)O)S(=O)(=O)O,graph_pubchem:3481
